"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"model.nlogox"
"E1-shock-decomposition"
"07/25/2026 15:08:26:337 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","fertilizer-shock","fuel-shock","panic-rate","government-intervention?","[step]","bullwhip-ratio-farmer","bullwhip-ratio-retailer","[food-security-index] of one-of governments","[demand] of one-of consumers"
"2","1","1","1","false","0","0","0","1","50"
"2","1","1","1","false","1","0","0","0.9758699789525849","41.1033838845546"
"2","1","1","1","false","2","0","0","0.8760350273291581","51.337900279802895"
"2","1","1","1","false","3","0","0","0.8760350273291581","40.682718266284276"
"2","1","1","1","false","4","0","0","0.8760350273291581","50.13432849848027"
"3","1","1","1","false","0","0","0","1","50"
"2","1","1","1","false","5","0","0","0.9141569443749809","49.522024420452986"
"2","1","1","1","false","6","0","0","0.7593970494970959","55.03210685407336"
"2","1","1","1","false","7","0","0","0.7593970494970959","54.60636899672178"
"2","1","1","1","false","8","0","0","0.7593970494970959","42.350373126602406"
"2","1","1","1","false","9","0","0","0.7301541055265813","44.94856171330762"
"2","1","1","1","false","10","0","0","0.7193095325720915","59.654230706942144"
"2","1","1","1","false","11","0","0","0.7193095325720915","48.25842828131613"
"3","1","1","1","false","1","0","0","0.9907036833279231","41.52474104796922"
"3","1","1","1","false","2","0","0","0.8219690425477604","57.8884255562312"
"2","1","1","1","false","12","19.228190134005242","11.918490513195453","0.6687206497632066","24.0576766480061"
"3","1","1","1","false","3","0","0","0.7194170029448357","60.30001846571043"
"2","1","1","1","false","13","13.645917472834919","10.850275968868107","0.5572054353666048","68.81079909516991"
"3","1","1","1","false","4","0","0","0.7194170029448357","66.81922080091377"
"2","1","1","1","false","14","11.788111837934006","8.677370382851516","0.5230859685963875","69.96615178561055"
"3","1","1","1","false","5","0","0","0.8155859889256251","38.93903461222935"
"2","1","1","1","false","15","11.95189017859746","8.599457329163615","0.7091497519301917","58.77415694141433"
"3","1","1","1","false","6","0","0","0.9045932009757001","50.70720629644684"
"2","1","1","1","false","16","19.219666660025077","13.133867397757133","0.5257882851421465","65.0658967767547"
"3","1","1","1","false","7","0","0","0.7570222000770737","68.71670647327076"
"2","1","1","1","false","17","19.954914389416174","13.238892172108777","0.6731734213251843","53.46826628747474"
"3","1","1","1","false","8","0","0","0.7570222000770737","57.01808243903212"
"3","1","1","1","false","9","0","0","0.7570222000770737","43.703981161664466"
"2","1","1","1","false","18","19.355574494367108","13.268040379908225","0.8803600476394298","39.52381142947091"
"3","1","1","1","false","10","0","0","0.5910413055257455","67.71797026942262"
"2","1","1","1","false","19","16.659112966690113","11.201599455267369","0.8803600476394298","29.47046119902351"
"3","1","1","1","false","11","0","0","0.6286135125556812","56.57930509174267"
"2","1","1","1","false","20","17.012164180399154","11.4091054200255","0.9411661062034293","46.242061389809244"
"2","1","1","1","false","21","17.181753283428254","11.555568049249507","0.9411661062034293","51.07996611122574"
"3","1","1","1","false","12","22.847683245758688","8.763086283133374","0.6286135125556812","39.79083832843831"
"2","1","1","1","false","22","16.703177443421833","11.1053457974272","0.9370631568303331","61.620965372800185"
"3","1","1","1","false","13","22.739449553694723","10.67078392538491","0.5519028550103776","48.17503484078936"
"2","1","1","1","false","23","16.766924399532567","11.388409217369611","0.8904017168958545","43.60020801892748"
"3","1","1","1","false","14","22.180042559118913","11.097444210322335","0.5283285743164188","60.018657831139635"
"2","1","1","1","false","24","21.301360778466808","11.209476872227736","0.6644442894855465","42.18718082022104"
"3","1","1","1","false","15","22.03811314592579","12.50544513919724","0.546988932804294","49.82902465765731"
"2","1","1","1","false","25","21.17252555334663","11.511726344160461","0.6904838558909261","41.04743157310759"
"2","1","1","1","false","26","21.372805625888073","11.575495805658802","0.6417188221192605","44.66511967659551"
"3","1","1","1","false","16","23.2144046002033","13.34773449103389","0.7969889328042941","52.84504783966868"
"3","1","1","1","false","17","28.09893877099037","17.442887338015495","0.6233026094307903","49.679363197373654"
"2","1","1","1","false","27","21.311187022250525","11.565076346348313","0.6280073083854676","41.64238587713082"
"2","1","1","1","false","28","18.57883307887138","10.426262851389755","0.7562333968765289","26.10919725706987"
"3","1","1","1","false","18","28.440749589710567","17.345788255993657","0.6374054134378322","49.47084315272414"
"3","1","1","1","false","19","27.37561245060381","17.34071115434366","0.7114017607011378","64.66868834758029"
"2","1","1","1","false","29","18.589129570299885","10.861004435307763","0.7562333968765289","45.981765554437445"
"3","1","1","1","false","20","26.235126249148113","16.585496583677205","0.710783130792305","42.21480356900198"
"2","1","1","1","false","30","26.913562999143597","11.956463408406034","0.5207467759191179","48.81483386857295"
"3","1","1","1","false","21","26.890173215754633","16.617549213743935","0.6673172611968667","46.398648465448275"
"2","1","1","1","false","31","27.120696389929616","11.962494898164023","0.5025996465567991","52.29786005148123"
"2","1","1","1","false","32","26.083556714298254","11.820335962414942","0.5001557272567838","62.006914051724756"
"3","1","1","1","false","22","24.680430152039666","16.31951709790738","0.7013833686117266","66.15228859940001"
"2","1","1","1","false","33","26.01475943084402","11.662548021532233","0.6005333062065991","41.28063838786964"
"3","1","1","1","false","23","24.311842168292813","15.746741991698913","0.6963632652654546","43.43321614627027"
"3","1","1","1","false","24","23.789449039482054","16.77388428313092","0.6206159864506806","42.45826866029915"
"2","1","1","1","false","34","28.453299209750657","12.916693951599408","0.5410321999379595","54.91999863071713"
"3","1","1","1","false","25","32.253812823787214","16.593397364912388","0.5028407365134232","58.567289670986135"
"2","1","1","1","false","35","30.684660590621153","13.296636798940314","0.5410321999379595","43.64108076692342"
"2","1","1","1","false","36","31.003955713545494","13.708277509663441","0.5410321999379595","45.96522679022708"
"3","1","1","1","false","26","27.557882902680046","14.612204983942446","0.6416508293140166","31.622683194270476"
"2","1","1","1","false","37","30.618180658577","15.510833422491363","0.5410321999379595","58.10090460205987"
"3","1","1","1","false","27","28.220246262916657","14.63363760137542","0.6416508293140166","51.330209231158385"
"2","1","1","1","false","38","30.49934919139822","15.459571078657804","0.5314001906122349","44.45744772176826"
"3","1","1","1","false","28","27.54454127015622","14.093056445434247","0.6416508293140166","40.82265052198054"
"3","1","1","1","false","29","27.833436892024537","14.699480340241239","0.7767632693105562","46.525180075968045"
"2","1","1","1","false","39","30.486552840614824","15.734666852201524","0.7814001906122348","41.83643827221966"
"2","1","1","1","false","40","32.3701472724232","15.125557562490938","0.6678526307595011","63.4832044385546"
"3","1","1","1","false","30","27.619600003600297","14.821307298276892","0.7767632693105562","46.77377024890571"
"2","1","1","1","false","41","32.681394551721354","15.424625036543237","0.6678526307595011","50.38515158371441"
"3","1","1","1","false","31","46.02132493818124","16.477485096090593","0.5245789810359913","50.15488144101899"
"2","1","1","1","false","42","32.95365198364709","15.831710064766552","0.6141002404699605","46.309126671851395"
