"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"model.nlogox"
"E2-intervention-returns-panic"
"07/25/2026 15:55:12:733 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","government-intervention?","rho","panic-rate","fertilizer-shock","fuel-shock","[step]","bullwhip-ratio-farmer","bullwhip-ratio-retailer","[food-security-index] of one-of governments"
"3","true","0","1","0.627","0.75","0","0","0","1"
"3","true","0","1","0.627","0.75","1","0","0","0.9709911476006393"
"3","true","0","1","0.627","0.75","2","0","0","0.8640922617413955"
"3","true","0","1","0.627","0.75","3","0","0","0.6620451082027821"
"2","true","0","1","0.627","0.75","0","0","0","1"
"2","true","0","1","0.627","0.75","1","0","0","0.8640117251282797"
"2","true","0","1","0.627","0.75","2","0","0","0.7071511576382311"
"3","true","0","1","0.627","0.75","4","0","0","0.6620451082027821"
"3","true","0","1","0.627","0.75","5","0","0","0.7981341968093355"
"3","true","0","1","0.627","0.75","6","0","0","0.7781281156979116"
"2","true","0","1","0.627","0.75","3","0","0","0.7071511576382311"
"3","true","0","1","0.627","0.75","7","0","0","0.6996104219544106"
"3","true","0","1","0.627","0.75","8","0","0","0.6996104219544106"
"3","true","0","1","0.627","0.75","9","0","0","0.6996104219544106"
"2","true","0","1","0.627","0.75","4","0","0","0.7071511576382311"
"2","true","0","1","0.627","0.75","5","0","0","0.6548615508420977"
"3","true","0","1","0.627","0.75","10","0","0","0.6550557769669252"
"2","true","0","1","0.627","0.75","6","0","0","0.8148546531652645"
"2","true","0","1","0.627","0.75","7","0","0","0.8148546531652645"
"3","true","0","1","0.627","0.75","11","0","0","0.5745090330871319"
"2","true","0","1","0.627","0.75","8","0","0","0.8148546531652645"
"2","true","0","1","0.627","0.75","9","0","0","0.5"
"3","true","0","1","0.627","0.75","12","16.89793106212784","7.5437404543306394","0.5657181549519348"
"2","true","0","1","0.627","0.75","10","0","0","0.5937098813606174"
"3","true","0","1","0.627","0.75","13","18.09934668007287","10.274140417236163","0.5"
"3","true","0","1","0.627","0.75","14","19.67646319638639","10.752107425417496","0.5"
"2","true","0","1","0.627","0.75","11","0","0","0.6594351393369287"
"2","true","0","1","0.627","0.75","12","72.09435616048465","18.067695651875773","0.6594351393369287"
"3","true","0","1","0.627","0.75","15","20.669904697318433","11.622643900975458","0.7373181998716227"
"2","true","0","1","0.627","0.75","13","71.75401200490309","17.94764915970569","0.5066690036908928"
"2","true","0","1","0.627","0.75","14","96.44207182091247","19.425206506283132","0.5066690036908928"
"2","true","0","1","0.627","0.75","15","97.66996014550423","19.30630128916118","0.5"
"3","true","0","1","0.627","0.75","16","21.157222476617196","13.459854452614577","0.8725828191108351"
"2","true","0","1","0.627","0.75","16","97.38770289462889","21.34927426603085","0.5"
"3","true","0","1","0.627","0.75","17","20.889361187761896","12.956184504228425","0.820923968072418"
"2","true","0","1","0.627","0.75","17","94.3863520563919","21.97657118415405","0.5"
"3","true","0","1","0.627","0.75","18","20.660962634226678","13.865024091744974","0.634423968072418"
"3","true","0","1","0.627","0.75","19","17.16198165753041","11.439312968122122","0.5888166126244545"
"2","true","0","1","0.627","0.75","18","87.9508371091573","21.301684625786457","0.47025"
"2","true","0","1","0.627","0.75","19","149.68407969344685","29.235104970699716","0.3135"
"3","true","0","1","0.627","0.75","20","19.281103415135526","12.687276062730993","0.3801547955631376"
"2","true","0","1","0.627","0.75","20","149.76526087801213","29.227195091583695","0.3135"
"2","true","0","1","0.627","0.75","21","152.08489490691886","30.55255420846329","0.34910233777902155"
"3","true","0","1","0.627","0.75","21","20.150769541031927","13.596652462552633","0.5369047955631375"
"2","true","0","1","0.627","0.75","22","147.29178928603923","29.206951568572226","0.34910233777902155"
"3","true","0","1","0.627","0.75","22","20.695391033536346","14.25376487815581","0.6522820289819167"
"3","true","0","1","0.627","0.75","23","20.94670803489561","13.979229246173473","0.647176198969339"
"2","true","0","1","0.627","0.75","23","148.33243720616042","29.332188695076226","0.3135"
"3","true","0","1","0.627","0.75","24","21.52771158533516","14.128447189815807","0.5797476636948482"
"3","true","0","1","0.627","0.75","25","22.407922042710275","14.10943781877187","0.4275056692798257"
"3","true","0","1","0.627","0.75","26","22.733263889514976","14.140075459365951","0.3135"
"2","true","0","1","0.627","0.75","24","142.29052447262973","28.98078601160407","0.3135"
"3","true","0","1","0.627","0.75","27","21.924574204192968","13.982338658859595","0.3135"
"2","true","0","1","0.627","0.75","25","143.59468291487087","29.053392147104045","0.3135"
"2","true","0","1","0.627","0.75","26","142.20139510173368","28.896598686495043","0.3135"
"2","true","0","1","0.627","0.75","27","143.00669751914404","28.702046381345177","0.3135"
"2","true","0","1","0.627","0.75","28","141.35671178035855","28.535834175788217","0.3135"
"3","true","0","1","0.627","0.75","28","21.028589420224964","13.40068088350471","0.3135"
"2","true","0","1","0.627","0.75","29","122.90012274870861","25.205680518660873","0.3135"
"3","true","0","1","0.627","0.75","29","21.142963997930433","13.801246385777722","0.47025"
"2","true","0","1","0.627","0.75","30","118.79113677020754","24.535757050171423","0.3135"
"2","true","0","1","0.627","0.75","31","119.87455193556245","25.483179326695105","0.47025"
"3","true","0","1","0.627","0.75","30","20.779925899411936","13.156685054668179","0.34588677446060284"
"3","true","0","1","0.627","0.75","31","21.2245974122764","13.267877117999225","0.3310403293989983"
"2","true","0","1","0.627","0.75","32","119.63422435182126","25.22843892388869","0.6023241682456741"
"3","true","0","1","0.627","0.75","32","21.316992538330435","13.603592864787188","0.4619991735808322"
"2","true","0","1","0.627","0.75","33","112.91996766106864","23.618422003575947","0.604709177318792"
"3","true","0","1","0.627","0.75","33","21.545812235947626","13.424540176472858","0.4619991735808322"
"2","true","0","1","0.627","0.75","34","114.70713965297936","23.65411735238032","0.4099008622499848"
"3","true","0","1","0.627","0.75","34","22.088733477978607","13.521523453722518","0.4417969591609485"
"3","true","0","1","0.627","0.75","35","24.285300572418294","13.628592945910558","0.38097236966695613"
"2","true","0","1","0.627","0.75","35","113.81758689301564","23.499019290939998","0.3135"
"3","true","0","1","0.627","0.75","36","23.88304053340664","13.037385697657513","0.3135"
"3","true","0","1","0.627","0.75","37","24.100859786041738","12.887956083027934","0.3135"
"3","true","0","1","0.627","0.75","38","23.658397114036052","12.845914521449973","0.3135"
"2","true","0","1","0.627","0.75","36","114.73503915859757","23.526078988303205","0.3135"
"3","true","0","1","0.627","0.75","39","22.99299310355223","12.67119652198647","0.3135"
"3","true","0","1","0.627","0.75","40","21.67705320768849","11.942819749233697","0.3604564905078519"
"2","true","0","1","0.627","0.75","37","106.71196603016527","22.32199773728321","0.3135"
"2","true","0","1","0.627","0.75","38","106.54466933783621","22.35800074947258","0.3135"
"3","true","0","1","0.627","0.75","41","21.467678726964596","11.647872461891177","0.3135"
"2","true","0","1","0.627","0.75","39","106.94446952213193","23.060933194343328","0.47025"
"2","true","0","1","0.627","0.75","40","106.96180545065707","23.124236834213644","0.42758627315609976"
"3","true","0","1","0.627","0.75","42","21.80416349383213","11.583282185183696","0.36293342508476956"
"2","true","0","1","0.627","0.75","41","106.88552324888842","23.085209801774912","0.3992943340091533"
"3","true","0","1","0.627","0.75","43","19.967718439879828","10.39679928929513","0.3135"
"3","true","0","1","0.627","0.75","44","19.936330093033256","10.374482266052153","0.3307979493787968"
"2","true","0","1","0.627","0.75","42","105.18911071847225","22.535669863479743","0.3354948748777885"
"3","true","0","1","0.627","0.75","45","20.30123159323967","10.623137080667638","0.4509022491646735"
"3","true","0","1","0.627","0.75","46","19.611007270706654","10.50602482466759","0.36833518039907265"
"3","true","0","1","0.627","0.75","47","19.739050043068953","10.32240503295517","0.3135"
"2","true","0","1","0.627","0.75","43","92.38139474567124","20.041854499412757","0.3135"
"3","true","0","1","0.627","0.75","48","20.051488008639208","10.72929219699851","0.4621781599159295"
"3","true","0","1","0.627","0.75","49","20.384056606896664","10.604145050672017","0.3135"
"2","true","0","1","0.627","0.75","44","84.18789649181345","18.742207792846774","0.3135"
