"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"model.nlogox"
"FSI-threshold-check"
"07/25/2026 15:56:20:404 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","government-intervention?","fsi-threshold","rho","panic-rate","fertilizer-shock","fuel-shock","[step]","bullwhip-ratio-farmer","bullwhip-ratio-retailer","[food-security-index] of one-of governments"
"3","true","0.2","0.1","1.02","0.627","0.75","0","0","0","1"
"1","true","0.2","0.1","1.02","0.627","0.75","0","0","0","1"
"1","true","0.2","0.1","1.02","0.627","0.75","1","0","0","0.8898772043816401"
"3","true","0.2","0.1","1.02","0.627","0.75","1","0","0","0.8682951978852329"
"1","true","0.2","0.1","1.02","0.627","0.75","2","0","0","0.7098684620707807"
"3","true","0.2","0.1","1.02","0.627","0.75","2","0","0","0.7731252482088916"
"3","true","0.2","0.1","1.02","0.627","0.75","3","0","0","0.7731252482088916"
"1","true","0.2","0.1","1.02","0.627","0.75","3","0","0","0.6410617354220006"
"3","true","0.2","0.1","1.02","0.627","0.75","4","0","0","0.7731252482088916"
"1","true","0.2","0.1","1.02","0.627","0.75","4","0","0","0.6410617354220006"
"1","true","0.2","0.1","1.02","0.627","0.75","5","0","0","0.8910617354220006"
"3","true","0.2","0.1","1.02","0.627","0.75","5","0","0","0.7401913080510103"
"3","true","0.2","0.1","1.02","0.627","0.75","6","0","0","0.5428614298823745"
"1","true","0.2","0.1","1.02","0.627","0.75","6","0","0","0.8715658962826243"
"1","true","0.2","0.1","1.02","0.627","0.75","7","0","0","0.8715658962826243"
"3","true","0.2","0.1","1.02","0.627","0.75","7","0","0","0.5428614298823745"
"1","true","0.2","0.1","1.02","0.627","0.75","8","0","0","0.8715658962826243"
"3","true","0.2","0.1","1.02","0.627","0.75","8","0","0","0.5428614298823745"
"3","true","0.2","0.1","1.02","0.627","0.75","9","0","0","0.5"
"1","true","0.2","0.1","1.02","0.627","0.75","9","0","0","0.6423422185150536"
"1","true","0.2","0.1","1.02","0.627","0.75","10","0","0","0.5"
"3","true","0.2","0.1","1.02","0.627","0.75","10","0","0","0.6848393261801242"
"1","true","0.2","0.1","1.02","0.627","0.75","11","0","0","0.6191982872380265"
"3","true","0.2","0.1","1.02","0.627","0.75","11","0","0","0.6848393261801242"
"1","true","0.2","0.1","1.02","0.627","0.75","12","39.643115412127905","20.33949636075231","0.6191982872380265"
"3","true","0.2","0.1","1.02","0.627","0.75","12","142.3712696387766","57.58982493833073","0.5874939833237294"
"1","true","0.2","0.1","1.02","0.627","0.75","13","41.60405055012071","21.49664028700306","0.7351187251489437"
